fc,alpha,delta,root,smooth_factor
69.09913,0.8011395,1.9474111,1.9305946,0.39278865
119.09621,0.8047848,1.8995703,1.890929,0.39779967
172.07268,0.81022155,2.010625,2.0124016,0.39054352
231.5354,0.809868,1.8150187,1.8716929,0.40036255
289.69388,0.81624717,2.0312114,2.0327735,0.3687219
340.60425,0.81481135,1.8563694,1.9005951,0.37090167
411.66,0.8293894,2.1843038,2.1751926,0.33083493
498.3324,0.8249445,1.9870182,2.0124629,0.31687412
570.0038,0.8253346,2.06782,2.0959058,0.2738736
637.5706,0.8241081,1.9513092,1.9662623,0.27990988
715.51935,0.8311297,2.1267757,2.135244,0.2543017
805.58075,0.82756823,1.995299,2.0059571,0.25715718
906.5675,0.8299425,2.1098688,2.1081464,0.23246092
1000.72577,0.82816994,1.9862751,2.0060413,0.23828189
1109.511,0.83334726,2.100842,2.1152742,0.21968868
1212.4125,0.8287496,1.9653789,1.9832286,0.21948527
1335.0728,0.83344215,2.0709965,2.082755,0.20700844
1452.1708,0.82867587,1.9881573,1.9970572,0.20817396
1595.3557,0.8315093,2.0627873,2.0802906,0.19774553
1737.0984,0.83154345,2.0029202,2.0113878,0.19735242
1888.6445,0.8313668,2.060239,2.0623586,0.18819875
2029.7124,0.8321908,1.9758418,2.0007184,0.18888113
2223.3284,0.8335994,2.0356638,2.0504124,0.17538397
2404.8677,0.83298504,1.9921501,2.0014856,0.1755671
2599.4692,0.8327835,2.0437539,2.0467327,0.16525316
2784.84,0.83255005,1.995312,1.9976614,0.16526473
3001.6714,0.8351527,2.0648167,2.0623283,0.15664153
3218.4814,0.8311293,1.9703237,1.9672229,0.15650037
3463.9995,0.8363795,2.0474324,2.0438128,0.14718005
3690.7412,0.82993084,1.9399146,1.9406376,0.14953867
3975.5935,0.8339784,1.9956946,2.0036666,0.13620605
4247.0044,0.831506,1.9574194,1.9523826,0.13848394
4570.187,0.8375793,2.0549479,2.0601745,0.124453336
4888.1167,0.8346222,2.0070994,2.0012765,0.12908001
5250.175,0.83732474,2.0258195,2.017659,0.114795804
5602.5396,0.8360715,1.9912131,1.9856005,0.1108572
6038.0903,0.84043694,2.0443804,2.055697,0.10501
6453.3784,0.8368525,1.9761939,1.9658731,0.10716889
6944.2207,0.8378026,1.9800296,1.963001,0.10635575
7395.333,0.84913385,2.0950642,2.0582418,0.08824685
